Date,Open,High,Low,Close,Adj Close,Volume,EMA_5,EMA_20,RSI,Trend,Trend_Change
1980-01-02,0.0,108.43000030517578,105.29000091552734,105.76000213623047,105.76000213623047,40610000,105.76000213623047,105.76000213623047,,No Trend,True
1980-01-03,0.0,106.08000183105469,103.26000213623047,105.22000122070312,105.22000122070312,50480000,105.5800018310547,105.66182015158913,,No Trend,False
1980-01-04,0.0,107.08000183105469,105.08999633789062,106.5199966430664,106.5199966430664,39130000,105.89333343505861,105.81785224094861,,No Trend,False
1980-01-07,0.0,107.80000305175781,105.80000305175781,106.80999755859375,106.80999755859375,44500000,106.19888814290367,105.99824229870227,,No Trend,False
1980-01-08,0.0,109.29000091552734,106.29000091552734,108.94999694824219,108.94999694824219,53390000,107.11592441134985,106.53492496225496,,No Trend,False
1980-01-09,0.0,111.08999633789062,108.41000366210938,109.05000305175781,109.05000305175781,65260000,107.76061729148586,106.9922118876191,,No Trend,False
1980-01-10,0.0,110.86000061035156,108.47000122070312,109.88999938964844,109.88999938964844,55980000,108.47041132420674,107.51908234253352,,No Trend,False
1980-01-11,0.0,111.16000366210938,108.88999938964844,109.91999816894531,109.91999816894531,52890000,108.95360693911961,107.95561249279021,,No Trend,False
1980-01-14,0.0,111.44000244140625,109.33999633789062,110.37999725341797,110.37999725341797,52930000,109.42907037721906,108.39640972199525,,No Trend,False
1980-01-15,0.0,111.93000030517578,109.44999694824219,111.13999938964844,111.13999938964844,52320000,109.99938004802885,108.8952442070231,,No Trend,False
1980-01-16,0.0,112.9000015258789,110.37999725341797,111.05000305175781,111.05000305175781,67700000,110.34958771593851,109.2870185424294,,No Trend,False
1980-01-17,0.0,112.01000213623047,109.80999755859375,110.69999694824219,110.69999694824219,54170000,110.46639079337308,109.54392370712263,,No Trend,False
1980-01-18,0.0,111.73999786376953,109.87999725341797,111.06999969482422,111.06999969482422,47150000,110.66759376052346,109.82139206852291,,No Trend,False
1980-01-21,0.0,112.9000015258789,110.66000366210938,112.0999984741211,112.0999984741211,48040000,111.14506199838934,110.23568414226803,88.19273498066914,No Trend,False
1980-01-22,0.0,113.0999984741211,110.91999816894531,111.51000213623047,111.51000213623047,50620000,111.26670871100305,110.46737832298847,82.33970975687203,No Trend,False
1980-01-23,0.0,113.93000030517578,110.93000030517578,113.44000244140625,113.44000244140625,50730000,111.99113995447078,111.00785543542806,89.98055543186237,No Trend,False
1980-01-24,0.0,115.2699966430664,112.94999694824219,113.69999694824219,113.69999694824219,59070000,112.5607589523946,111.49733571048516,88.85282448672906,No Trend,False
1980-01-25,0.0,114.44999694824219,112.36000061035156,113.61000061035156,113.61000061035156,47100000,112.91050617171359,111.88145660136996,87.6106642810725,No Trend,False
1980-01-28,0.0,115.6500015258789,112.93000030517578,114.8499984741211,114.8499984741211,53620000,113.55700360584943,112.4211914873247,86.24083229842772,No Trend,False
1980-01-29,0.0,115.7699966430664,113.02999877929688,114.06999969482422,114.06999969482422,55480000,113.72800230217436,112.72097479777916,78.4580810741376,Bullish,True
1980-01-30,0.0,115.8499984741211,113.37000274658203,115.19999694824219,115.19999694824219,51170000,114.21866718419697,113.17170609786334,79.14383148641949,Bullish,False
1980-01-31,0.0,117.16999816894531,113.77999877929688,114.16000366210938,114.16000366210938,65900000,114.19911267683445,113.35139656408988,70.94868543461249,Bullish,False
1980-02-01,0.0,115.54000091552734,113.12999725341797,115.12000274658203,115.12000274658203,46610000,114.50607603341697,113.672961324543,72.31645236791854,Bullish,False
1980-02-04,0.0,116.01000213623047,113.83000183105469,114.37000274658203,114.37000274658203,43070000,114.46071827113866,113.7996961285501,65.2215369415196,Bullish,False
1980-02-05,0.0,115.25,112.1500015258789,114.66000366210938,114.66000366210938,41880000,114.52714673479558,113.95611568010632,66.69753247614841,Bullish,False
